Date,Close/Last,Volume,Open,High,Low
10/01/2020,$426.99,528339,$427.11,$430.91,$424.53
09/30/2020,$425.28,464836,$425,$428,$421.77
09/29/2020,$423.46,390704,$422.2,$428.541,$420.645
09/28/2020,$421.54,415947,$416.44,$423.11,$414.88
09/25/2020,$418.08,346260,$414.6,$418.28,$410.38
09/24/2020,$413.3,462240,$413.25,$417.55,$408.55
09/23/2020,$413.54,577671,$414.57,$421.15,$409.77
09/22/2020,$413.75,560203,$404.96,$414.915,$400.9
09/21/2020,$404.97,655292,$395.44,$405.96,$392.08
09/18/2020,$397.59,780014,$393.41,$398.05,$388.9
09/17/2020,$395.07,524395,$386.72,$395.44,$385.83
09/16/2020,$385.98,411378,$390.72,$394.01,$385.98
09/15/2020,$389.52,444305,$389.74,$394.715,$387.39
09/14/2020,$388.52,521918,$395.45,$397.59,$385.26
09/11/2020,$394.68,720158,$401.39,$401.9811,$392.94
09/10/2020,$388.97,728322,$383.94,$395.18,$383.125
09/09/2020,$382.07,594370,$382.5,$387.69,$380.48
09/08/2020,$376.32,683141,$381.57,$386.645,$376.11
09/04/2020,$381.81,858116,$397.61,$401.2,$376.3301
09/03/2020,$397.5,802543,$403,$403.31,$389.64
09/02/2020,$403.6,585834,$409.86,$413.18,$402.62
09/01/2020,$410.15,512711,$408.44,$411.72,$405.65
08/31/2020,$408.96,670947,$418,$418.28,$407.16
08/28/2020,$415.98,321963,$414.77,$419.37,$412.01
08/27/2020,$416.32,370193,$418.09,$422.9515,$416.295
08/26/2020,$418.09,349541,$417.56,$419.715,$414.92
08/25/2020,$419.36,380300,$418.23,$419.84,$411.06
08/24/2020,$418.99,455994,$423.02,$424.72,$416.77
08/21/2020,$419.7,368169,$419.94,$423.55,$416.73
08/20/2020,$418.33,511173,$413.33,$419.655,$412.82
08/19/2020,$414.23,612343,$413.45,$416.3,$408.02
08/18/2020,$411.45,439481,$410,$413.73,$406.17
08/17/2020,$409.39,840643,$401,$409.8,$401
08/14/2020,$398.99,341645,$399.98,$400.9,$393.665
08/13/2020,$399.04,580789,$394.38,$399.48,$392.26
08/12/2020,$392.67,413962,$390.36,$395.95,$388.02
08/11/2020,$388.65,453924,$384,$391.18,$381.87
08/10/2020,$385.93,410325,$389.56,$391.915,$384.4
08/07/2020,$389.12,472561,$392.58,$393.85,$385
08/06/2020,$392.55,312491,$392.19,$395.24,$390.92
08/05/2020,$393.44,539671,$389.97,$394.5,$388.6
08/04/2020,$391.86,441372,$385,$392.03,$383.54
08/03/2020,$387.03,558548,$387.45,$393.96,$382
07/31/2020,$386.61,640228,$384.92,$387.12,$377.955
07/30/2020,$384.53,678896,$383,$386.04,$379.68
07/29/2020,$385.15,435897,$387.19,$389.3018,$384.3
07/28/2020,$385.42,476784,$389.54,$390.83,$384.765
07/27/2020,$389.61,549638,$390.62,$394.89,$387.11
07/24/2020,$386.91,549089,$379.48,$387.23,$376.5759
07/23/2020,$381.32,618009,$389.99,$390.6,$377.895
07/22/2020,$389.12,568289,$388.47,$395.22,$387.405
07/21/2020,$387.81,554070,$395,$395.64,$386.56
07/20/2020,$391.43,660893,$391.1,$394.6751,$385.13
07/17/2020,$390.22,1184267,$410,$410,$388
07/16/2020,$407.52,1322091,$404,$422.15,$403.685
07/15/2020,$413.68,1158887,$401,$417.34,$399.43
07/14/2020,$402.3,886592,$400.43,$405.43,$390.58
07/13/2020,$401.38,1169963,$402,$417.1499,$401.24
07/10/2020,$398.31,861919,$387,$398.91,$383.71
07/09/2020,$385.5,546349,$386.07,$387.34,$378.38
07/08/2020,$384.14,494568,$381.72,$385.43,$381.46
07/07/2020,$381.14,717350,$384.74,$388.73,$380.88
07/06/2020,$385,669141,$378,$387.01,$376.2072
07/02/2020,$374.09,415235,$377.54,$379.99,$372.12
07/01/2020,$375.71,436239,$371.42,$377.02,$369.6
06/30/2020,$369.44,752866,$368.89,$371.02,$363.5
06/29/2020,$369.17,485343,$365.16,$370.35,$362
06/26/2020,$365.81,795637,$374.55,$375.25,$364.37
06/25/2020,$373.7,483205,$373.72,$376.27,$369.3201
06/24/2020,$375.48,549720,$377.91,$381.88,$372.82
06/23/2020,$377.55,478375,$387.79,$388.48,$376.8
06/22/2020,$384.63,534941,$377.04,$387.1,$376.05
06/19/2020,$378.41,898712,$380.81,$381,$373.59
06/18/2020,$375.55,463192,$380.93,$381.63,$374
06/17/2020,$380.67,674026,$375.34,$382.84,$374.73
06/16/2020,$374.86,772143,$380.05,$381.178,$371.05
06/15/2020,$377.92,925823,$376.57,$378.68,$368.82
06/12/2020,$378.15,1042465,$385.32,$387.19,$365.95
06/11/2020,$382.79,786385,$387,$394.99,$382.18
06/10/2020,$392.32,849106,$383.28,$393,$380.41
06/09/2020,$382.22,818598,$376.94,$385.415,$374.95
06/08/2020,$375.82,640832,$371.8,$377.54,$370.83
06/05/2020,$376.41,715626,$381.68,$382.34,$371.86
06/04/2020,$382.78,697785,$390.4,$394.36,$379.53
06/03/2020,$390.14,609607,$387,$391,$385
06/02/2020,$384.86,660217,$386.63,$387.49,$381.13
06/01/2020,$383.58,972593,$385.59,$394.39,$383.2
05/29/2020,$385.84,1123023,$370.26,$386.51,$369.74
05/28/2020,$365.55,694264,$375.96,$375.96,$364.57
05/27/2020,$373.97,1286161,$363.72,$375.21,$360.02
05/26/2020,$360.16,866365,$374.95,$375.37,$360.13
05/22/2020,$372.1,639808,$376.46,$378.249,$367.54
05/21/2020,$375.24,443745,$377.4,$378.8,$372.98
05/20/2020,$377.24,754146,$373,$377.4,$371.69
05/19/2020,$370.01,619451,$363,$372.315,$361.4101
05/18/2020,$364.5,1017781,$378.74,$378.74,$361.06
05/15/2020,$376.04,584618,$372.14,$376.08,$369.42
05/14/2020,$376.01,741543,$383.88,$385.97,$372.505
05/13/2020,$384.96,1075090,$379.73,$385.34,$376.52
05/12/2020,$377.94,899274,$380.6,$382.21,$375.3197
05/11/2020,$377.49,10278780,$369.15,$382.73,$365.03
05/08/2020,$369.11,940828,$369.5,$373.68,$365.11
05/07/2020,$367.17,1312513,$371,$371.97,$364.13
05/06/2020,$372.3,928532,$369.58,$379.56,$369.58
05/05/2020,$371.46,778032,$362.44,$372.84,$357.1
05/04/2020,$359.1,626431,$356.26,$361.535,$356.1
05/01/2020,$357.3,794256,$358.67,$364.59,$356.13
04/30/2020,$361.93,925845,$363.35,$370.2,$361.93
04/29/2020,$362.01,868018,$356.01,$367.3,$349.09
04/28/2020,$356.01,906457,$364,$365.5159,$354.65
04/27/2020,$362.03,791895,$369.64,$374.62,$361.565
04/24/2020,$367.29,1035802,$368.98,$374.925,$363.91
04/23/2020,$369.64,2095538,$379.91,$380.1,$359.0036
04/22/2020,$383.75,1398195,$373.32,$387.85,$370.01
04/21/2020,$365.22,696711,$370.48,$377.34,$360.2402
04/20/2020,$370.48,843994,$364.66,$374.2,$364.66
04/17/2020,$362.97,715704,$362.58,$366,$355.415
04/16/2020,$360.47,862267,$359.06,$362.99,$356.624
04/15/2020,$354.62,703343,$355.09,$360.5753,$353.385
