Date,Close/Last,Volume,Open,High,Low
09/19/2022,$4.67,9371824,$4.87,$5.09,$4.58
09/16/2022,$4.9,6697750,$5.3,$5.34,$4.9
09/15/2022,$5.4,8153259,$5.35,$5.69,$5.32
09/14/2022,$5.36,5921774,$5.28,$5.4297,$5.11
09/13/2022,$5.31,8893685,$5.42,$5.72,$5.26
09/12/2022,$5.72,12467940,$5.64,$6.13,$5.63
09/09/2022,$5.53,10284530,$5.15,$5.55,$5.12
09/08/2022,$5.11,8771008,$5.05,$5.29,$5
09/07/2022,$5.08,8535674,$4.83,$5.09,$4.68
09/06/2022,$4.92,8340960,$5.25,$5.34,$4.84
09/02/2022,$4.97,28085670,$4.82,$5.7,$4.64
09/01/2022,$4.59,12134840,$5.06,$5.077,$4.4
08/31/2022,$4.9,16715700,$5.12,$5.2597,$4.721
08/30/2022,$5.2,17076180,$5.9,$6.07,$5.16
08/29/2022,$6.06,17603100,$6.02,$6.2791,$5.85
08/26/2022,$6.5,13877730,$6.66,$6.83,$6.31
08/25/2022,$6.83,23415580,$7.01,$7.07,$6.33
08/24/2022,$7.13,35891740,$7.15,$7.68,$6.85
08/23/2022,$7.02,104446900,$6.76,$7.64,$6.5
08/22/2022,$6,122699800,$6.95,$10.5,$5.21
